last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Rodriguez, Elvin,660730,93,93.1,,83,86.5,78.9,,
Smith, Joe,501925,86.1,83.6,,77,,,,
Oviedo, Johan,670912,95.6,,,84.9,87.7,77.3,,
Schmidt, Clarke,657376,94.5,95.1,,86,89.5,83,,
Pruitt, Austin,643493,91.5,,,87.7,86.1,81,,
Hill, Tim,657612,91.3,89.5,,82.6,,,,
Wantz, Andrew,681806,93.5,,87.4,81.3,87.2,,,
Koenig, Jared,657649,89.1,88.7,83.1,,82.8,77.5,,
Floro, Dylan,571670,91.9,92.1,,83.9,84.9,,,
Silseth, Chase,681217,95.7,94.4,,83.9,,79.1,86.3,
Gustave, Jandel,594311,96,96,,86.2,,,,
Robles, Hansel,570663,96,95.9,,88.7,90.2,,,
Rogers, Josh,642028,90.4,89.9,,80.8,84.7,,,
Bleier, Richard,542947,90.6,89.6,87.1,77.8,82.8,,,
VerHagen, Drew,572403,94.9,94.6,91,81.4,89.5,78.2,,
Chapman, Aroldis,547973,97.5,100.3,,85.4,,,88,
Rucker, Michael,621074,95.1,,88.4,86.1,90.1,80.7,,
Arano, Víctor,644364,94.3,93.7,,84.7,,,,
Jiménez, Dany,666204,94,,92.8,81.9,,,,
Lambert, Jimmy,669424,94.2,,,84.7,85.3,76.5,,
Mayza, Tim,641835,94,93.7,,88.8,,,,
Santillan, Tony,663574,96.2,,,86.5,,,,
Snead, Kirby,669912,93.7,93.4,,82.2,88.1,,,
Hudson, Daniel,543339,97,96.3,,88.8,88.4,,,
Sulser, Cole,642121,92,,,84.9,83.2,77.8,,
Pressly, Ryan,519151,94.2,,,89.2,,80.5,,
Suarez, Robert,663158,97.4,96.8,90.5,,88.7,79.9,,
Martinez, Seth,661527,92,91.1,86.2,79.8,86.5,,,
Ryu, Hyun Jin,547943,89.3,,86,,79.6,71.9,,
McGee, Jake,459429,94.7,,,85.7,,,,
