last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Suarez, Robert,663158,97.6,96.9,92.1,,89,80.2,,
Snead, Kirby,669912,93.6,93.3,,82.1,87.8,,,
Farmer, Buck,571656,94.6,,,83,88.6,,,
Jiménez, Dany,666204,94,,92.8,82,,,,
Hill, Tim,657612,91.2,89.6,,82.8,,,,
Ober, Bailey,641927,91.6,,,83,84.2,76.3,,
Liberatore, Matthew,669461,93.2,92.8,,85.9,85.2,74.1,,
Rainey, Tanner,663432,97,,,88.4,89.1,,,
McGee, Jake,459429,94.5,,,85.4,,,,
Fleming, Josh,676596,91.3,91.6,84.2,,82.3,79.7,,
Nelson, Kyle,669459,91.9,,,84.2,,77,,
Garza Jr., Ralph,621248,91.2,87.8,89.4,77.5,83.1,80,,
Price, David,456034,92.5,92.6,88,,84.3,78.4,,
Head, Louis,545343,93.6,,,82.4,88.6,,,
Mayers, Mike,594577,93.5,,88.3,84.1,86.4,,,
Silseth, Chase,681217,95.4,94.3,,83.7,,78.9,86.3,
Danish, Tyler,641501,91.5,91.1,,87.1,84.6,81.4,,
Warren, Art,605521,93.9,,,85.5,,,,
Banda, Anthony,607455,95.2,93.2,,84.7,86.8,81.1,,
Marinaccio, Ron,676760,94.7,,,80,84,,,
Megill, Trevor,656730,97.8,99,,88.2,,82.8,,
Elder, Bryce,693821,,91.4,90.2,82.7,86.2,78.6,,
Martinez, Seth,661527,92,91,86.1,79.8,86.6,,,
Mayza, Tim,641835,94,93.7,,88.8,,,,
Strahm, Matt,621381,94.3,94,,88.7,88.7,83.1,,
Kelly, Joe,523260,97,97.8,,,87,87.8,,
Moreta, Dauri,664294,95.8,96.2,,85.7,88,,,
Wendelken, J.B.,605525,95,94.4,,85.9,85.5,80.4,,
McFarland, T.J.,519008,,88.8,,79.5,81.8,,,
Schmidt, Clarke,657376,94.5,94.9,,86,89.5,83.1,,
Castro, Miguel,612434,,97.9,,85.8,92.4,,,
